Section,Variable,Datatype,Index
calculated_variables_1,_PASTRNG,NUMERIC,306
calculated_variables_1,_PAREC3,NUMERIC,307
calculated_variables_1,_PASTAE3,NUMERIC,308
calculated_variables_1,_RFHYPE6,NUMERIC,309
calculated_variables_1,_CHOLCH3,NUMERIC,310
calculated_variables_1,_RFCHOL3,NUMERIC,311
calculated_variables_1,_MICHD,NUMERIC,312
calculated_variables_1,_LTASTH1,NUMERIC,313
calculated_variables_1,_CASTHM1,NUMERIC,314
calculated_variables_1,_ASTHMS1,NUMERIC,315
calculated_variables_1,_DRDXAR2,NUMERIC,316
calculated_race_variables,_MRACE1,NUMERIC,317
calculated_race_variables,_HISPANC,NUMERIC,318
calculated_race_variables,_RACE,NUMERIC,319
calculated_race_variables,_RACEG21,NUMERIC,320
calculated_race_variables,_RACEGR3,NUMERIC,321
calculated_race_variables,_RACEPRV,NUMERIC,322
calculated_variables_2,_SEX,NUMERIC,323
calculated_variables_2,_AGEG5YR,NUMERIC,324
calculated_variables_2,_AGE65YR,NUMERIC,325
calculated_variables_2,_AGE80,NUMERIC,326
calculated_variables_2,_AGE_G,NUMERIC,327
calculated_variables_2,HTIN4,NUMERIC,328
calculated_variables_2,HTM4,NUMERIC,329
calculated_variables_2,WTKG3,NUMERIC,330
calculated_variables_2,_BMI5,NUMERIC,331
calculated_variables_2,_BMI5CAT,NUMERIC,332
calculated_variables_2,_RFBMI5,NUMERIC,333
calculated_variables_2,_CHLDCNT,NUMERIC,334
calculated_variables_2,_EDUCAG,NUMERIC,335
calculated_variables_2,_INCOMG1,NUMERIC,336
calculated_variables_2,_SMOKER3,NUMERIC,337
calculated_variables_2,_RFSMOK3,NUMERIC,338
calculated_variables_2,_CURECI2,NUMERIC,339
calculated_variables_2,DRNKANY6,NUMERIC,340
calculated_variables_2,DROCDY4_,NUMERIC,341
calculated_variables_2,_RFBING6,NUMERIC,342
calculated_variables_2,_DRNKWK2,NUMERIC,343
calculated_variables_2,_RFDRHV8,NUMERIC,344
calculated_variables_2,_FLSHOT7,NUMERIC,345
calculated_variables_2,_PNEUMO3,NUMERIC,346
calculated_variables_2,_AIDTST4,NUMERIC,347
calculated_variables_2,_RFSEAT2,NUMERIC,348
calculated_variables_2,_RFSEAT3,NUMERIC,349
calculated_variables_2,_DRNKDRV,NUMERIC,350
